id,title,startdate,enddate,price,pdu,status,type,formLink,images,vdoUrl,pdfUrl,desc
1,Fault Event Analysis รุ่นที่ 10,20-May-20,22-May-20,7000,,closed,on-site,," https://drive.google.com/file/d/1phuHYTVVyjBGVFhCKZhnaeb3ms04a-Vy/view?usp=sharing,https://drive.google.com/file/d/1FwuSiXrvsw4axBeLThesh3XmSjRXL-Lk/view?usp=sharing",,,
2,Short-Term and Long-Term Impact of COVID-19 On Engineering,9-Jul-20,,Free,,closed,on-line,,https://drive.google.com/file/d/1eYberdAcxHjOlw6SLDirwoCEDPlUpT3w/view?usp=drive_link,https://youtu.be/o0TgThMSrdY,,
3,Basic Principle of Fire Alarm and Detection,29-Jul-20,,Free,,closed,on-line,,https://drive.google.com/file/d/1eHAiZJbxBjiw_0FtnnoEjV3f84nyTlCs/view?usp=sharing,https://youtu.be/RTLPlO4nQOw,,
4,Basic Maintenance Principle of High Volt System,18-Aug-20,,Free,,closed,on-line,,https://drive.google.com/file/d/1eG2ehCdbiHxJc7K-7vR_eTUnwSMQQJyM/view?usp=sharing,https://youtu.be/OzSXWzb9rg8,,
5,Protective Relaying 1,26-Aug-20,28-Aug-20,7000,,closed,on-site,,"https://drive.google.com/file/d/1WEZKSuve1hgr_wqayq2HTDo5PldNtQCQ/view?usp=sharing,https://drive.google.com/file/d/1ACi8EKACycILxgPjhxU7BZj_JuWYAgam/view?usp=sharing",,,
6,Introduction to Generator's Voltage and Frequency Controls,1-Sep-20,,Free,,closed,on-line,,https://drive.google.com/file/d/1eC--ZSOSwH0JJGR6BMJFVmjVuWI5Ye9x/view?usp=sharing,https://youtu.be/Axi1dGI0tsc,,
7,Technology for High Voltage Electricity Testing,10-Sep-20,11-Sep-20,5000,,closed,on-site,," https://drive.google.com/file/d/1rBIAACMLdIXvBn3nlKVRrVc3c0ejVHlD/view?usp=sharing,https://drive.google.com/file/d/1X2kt2_L6RH3Z1EoZafjLLGGhbUWCIHOK/view?usp=sharing",,,
8,Underground Cable Technology,16-Sep-20,18-Sep-20,7000,,closed,on-site,,"https://drive.google.com/file/d/1aJ7RTfGTqYekHlYPwD6Ul3MXpG7kygUY/view?usp=sharing,https://drive.google.com/file/d/1KVtJwtXhRvUlEc0uXCrylV9xjHqzMPWa/view?usp=sharing, ",,,
9,Generation Control and Protection,23-Sep-20,25-Sep-20,7000,,closed,on-site,https://forms.gle/cd6wMxhVRed4cknYA,"https://drive.google.com/file/d/1gzWc2vijLg9fIMPB7pVJ78IKoqmn9IZ1/view?usp=sharing, https://drive.google.com/file/d/1jRfBGF9-J9RZ4JcvuP6onbVK7X4m0wVU/view?usp=sharing",,,
10,Basic Gas Insulated Substation (GIS),30-Sep-20,,Free,,closed,on-line,,https://drive.google.com/file/d/1e8i6LFiA54-8V3iR7Osxejrq0yTUr8WQ/view?usp=sharing,https://youtu.be/Kk_7vFYYcEQ,,
11,"Design Principles, Standard Installation and Operating Procedure for: Fire Detection and Alarm System Fire Exit Sign and Emergency Lighting System",1-Oct-20,2-Oct-20,5000,,closed,on-site,https://forms.gle/nSuo6wdWg2jKkmxL7,"https://drive.google.com/file/d/1kCafjrh9qp5H4njb0uD_Eo83VCluUK-r/view?usp=sharing,https://drive.google.com/file/d/17NN4_hl0myl5-7U8fLg9FKZ058A1D8IQ/view?usp=sharing",,,
12,Gas Insulated Substation (GIS) Episode 1,7-Oct-20,9-Oct-20,7000,,closed,on-site,https://forms.gle/hFApNTMAEQRBurMT9,"https://drive.google.com/file/d/1YnMK3drsm-tqXAyVZ8Rh_ipkcpsjCaNV/view?usp=sharing, https://drive.google.com/file/d/1oAte7vNhgjf7EHTNbYoYlmqdcXAvL-Mw/view?usp=sharing",,,
13,Introduction to Energy Storage for Power Systems,12-Oct-20,,Free,,closed,on-line,,https://drive.google.com/file/d/1e71m9D8e7rewrw3qCitaBBvhK_6z6dS5/view?usp=sharing,https://youtu.be/rjpHRrxFiZs,,
